Option,Word,Directive,WCount,InFiles,FCount
--mixed-refs,"['MIXED_REFS_YES', '--mixed-refs']",MIXED_REFS_YES,16,"['../x264/encoder/analyse.c', '../x264/x264.h', '../x264/x264.c', '../x264/common/base.c', '../x264/removeoption.h', '../x264/encoder/encoder.c']",6
--no-mixed-refs,"['MIXED_REFS_NO', '--no-mixed-refs']",MIXED_REFS_NO,18,"['../x264/encoder/analyse.c', '../x264/x264.h', '../x264/x264.c', '../x264/common/base.c', '../x264/removeoption.h', '../x264/encoder/encoder.c']",6
--cabac,"['CABAC_YES', '--cabac']",CABAC_YES,74,"['../x264/encoder/analyse.c', '../x264/x264.h', '../x264/encoder/macroblock.c', '../x264/common/common.h', '../x264/x264.c', '../x264/encoder/macroblock.h', '../x264/common/cabac.c', '../x264/common/base.c', '../x264/encoder/rdo.c', '../x264/removeoption.h', '../x264/tools/checkasm.c', '../x264/encoder/encoder.c', '../x264/common/macroblock.c', '../x264/encoder/set.c']",14
--no-cabac,"['CABAC_NO', '--no-cabac']",CABAC_NO,66,"['../x264/encoder/analyse.c', '../x264/encoder/set.c', '../x264/x264.h', '../x264/common/common.h', '../x264/x264.c', '../x264/encoder/macroblock.h', '../x264/common/base.c', '../x264/encoder/rdo.c', '../x264/removeoption.h', '../x264/encoder/macroblock.c', '../x264/common/set.c', '../x264/encoder/encoder.c', '../x264/common/macroblock.c', '../x264/common/vlc.c']",14
--mbtree,"['MBTREE_YES', '--mbtree']",MBTREE_YES,39,"['../x264/encoder/lookahead.c', '../x264/x264.h', '../x264/x264.c', '../x264/encoder/ratecontrol.c', '../x264/encoder/slicetype.c', '../x264/common/base.c', '../x264/removeoption.h', '../x264/encoder/encoder.c', '../x264/common/macroblock.c']",9
--no-mbtree,"['MBTREE_NO', '--no-mbtree']",MBTREE_NO,37,"['../x264/encoder/lookahead.c', '../x264/x264.h', '../x264/x264.c', '../x264/encoder/ratecontrol.c', '../x264/encoder/slicetype.c', '../x264/common/base.c', '../x264/removeoption.h', '../x264/encoder/encoder.c', '../x264/common/macroblock.c']",9
--psy,"['PSY_YES', '--psy']",PSY_YES,15,"['../x264/encoder/analyse.c', '../x264/x264.h', '../x264/x264.c', '../x264/encoder/slicetype.c', '../x264/common/base.c', '../x264/removeoption.h', '../x264/encoder/encoder.c']",7
--no-psy,"['PSY_NO', '--no-psy']",PSY_NO,16,"['../x264/encoder/analyse.c', '../x264/x264.h', '../x264/x264.c', '../x264/encoder/slicetype.c', '../x264/common/base.c', '../x264/removeoption.h', '../x264/encoder/encoder.c']",7
--weightb,"['WEIGHTB_YES', '--weightb']",WEIGHTB_YES,15,"['../x264/x264.h', '../x264/x264.c', '../x264/encoder/slicetype.c', '../x264/common/base.c', '../x264/removeoption.h', '../x264/encoder/encoder.c', '../x264/common/macroblock.c', '../x264/encoder/set.c']",8
--no-weightb,"['WEIGHTB_NO', '--no-weightb']",WEIGHTB_NO,17,"['../x264/x264.h', '../x264/x264.c', '../x264/encoder/slicetype.c', '../x264/common/base.c', '../x264/removeoption.h', '../x264/encoder/encoder.c', '../x264/common/macroblock.c', '../x264/encoder/set.c']",8
