System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
baseline,BASELINE,nofile,ultrafast,measures/in/original_01.mkv,0.2262,1879.26,1443.41
baseline,BASELINE,nofile,superfast,measures/in/original_01.mkv,0.4413,1882.26,623.85
baseline,BASELINE,nofile,veryfast,measures/in/original_01.mkv,0.7419,1185.49,327.71
baseline,BASELINE,nofile,faster,measures/in/original_01.mkv,0.9433,1195.93,253.60
baseline,BASELINE,nofile,fast,measures/in/original_01.mkv,1.3336,1178.70,178.04
baseline,BASELINE,nofile,medium,measures/in/original_01.mkv,1.6035,1179.18,140.98
baseline,BASELINE,nofile,slow,measures/in/original_01.mkv,2.9244,1195.73,72.91
baseline,BASELINE,nofile,slower,measures/in/original_01.mkv,3.5941,577.72,60.46
baseline,BASELINE,nofile,veryslow,measures/in/original_01.mkv,7.0767,796.79,30.27
baseline,BASELINE,nofile,placebo,measures/in/original_01.mkv,20.7540,356.13,10.02
baseline,BASELINE,nofile,ultrafast,measures/in/original_04.mkv,0.2497,1113.00,2601.95
baseline,BASELINE,nofile,superfast,measures/in/original_04.mkv,0.3517,577.76,1849.65
baseline,BASELINE,nofile,veryfast,measures/in/original_04.mkv,0.4874,215.62,1467.72
baseline,BASELINE,nofile,faster,measures/in/original_04.mkv,0.6170,257.18,906.04
baseline,BASELINE,nofile,fast,measures/in/original_04.mkv,0.8595,285.09,665.09
baseline,BASELINE,nofile,medium,measures/in/original_04.mkv,1.1470,292.54,485.45
baseline,BASELINE,nofile,slow,measures/in/original_04.mkv,1.7037,294.94,318.11
baseline,BASELINE,nofile,slower,measures/in/original_04.mkv,2.6523,292.84,199.00
baseline,BASELINE,nofile,veryslow,measures/in/original_04.mkv,5.3265,275.76,106.02
baseline,BASELINE,nofile,placebo,measures/in/original_04.mkv,22.7457,285.72,23.03
baseline,BASELINE,nofile,ultrafast,measures/in/original_07.mkv,0.3166,1139.78,2775.30
baseline,BASELINE,nofile,superfast,measures/in/original_07.mkv,0.5258,664.53,1671.54
baseline,BASELINE,nofile,veryfast,measures/in/original_07.mkv,0.7128,323.88,1015.82
baseline,BASELINE,nofile,faster,measures/in/original_07.mkv,1.0102,357.80,689.50
baseline,BASELINE,nofile,fast,measures/in/original_07.mkv,1.3391,381.23,503.69
baseline,BASELINE,nofile,medium,measures/in/original_07.mkv,1.6354,373.51,407.24
baseline,BASELINE,nofile,slow,measures/in/original_07.mkv,2.3298,369.05,272.89
baseline,BASELINE,nofile,slower,measures/in/original_07.mkv,4.0266,364.79,154.59
baseline,BASELINE,nofile,veryslow,measures/in/original_07.mkv,9.2025,344.72,77.24
baseline,BASELINE,nofile,placebo,measures/in/original_07.mkv,39.8343,354.53,14.86
baseline,BASELINE,nofile,ultrafast,measures/in/original_03.mkv,0.3287,3920.98,2157.74
baseline,BASELINE,nofile,superfast,measures/in/original_03.mkv,0.5998,2279.32,955.94
baseline,BASELINE,nofile,veryfast,measures/in/original_03.mkv,1.1035,2410.79,491.28
baseline,BASELINE,nofile,faster,measures/in/original_03.mkv,1.6250,2465.54,306.58
baseline,BASELINE,nofile,fast,measures/in/original_03.mkv,2.2802,2478.86,227.45
baseline,BASELINE,nofile,medium,measures/in/original_03.mkv,2.8852,2460.31,171.88
baseline,BASELINE,nofile,slow,measures/in/original_03.mkv,5.2548,2454.72,91.41
baseline,BASELINE,nofile,slower,measures/in/original_03.mkv,10.5111,2445.12,44.89
baseline,BASELINE,nofile,veryslow,measures/in/original_03.mkv,20.4938,2323.47,22.78
baseline,BASELINE,nofile,placebo,measures/in/original_03.mkv,59.6217,2326.55,7.95
baseline,BASELINE,nofile,ultrafast,measures/in/original_05.mkv,0.3088,2217.21,2132.11
baseline,BASELINE,nofile,superfast,measures/in/original_05.mkv,0.6028,1452.48,1027.42
baseline,BASELINE,nofile,veryfast,measures/in/original_05.mkv,1.0462,1178.82,539.12
baseline,BASELINE,nofile,faster,measures/in/original_05.mkv,1.4045,1221.03,383.32
baseline,BASELINE,nofile,fast,measures/in/original_05.mkv,1.8588,1239.66,290.91
baseline,BASELINE,nofile,medium,measures/in/original_05.mkv,2.2896,1197.77,233.78
baseline,BASELINE,nofile,slow,measures/in/original_05.mkv,3.5374,1186.29,147.65
baseline,BASELINE,nofile,slower,measures/in/original_05.mkv,6.3616,1170.67,80.03
baseline,BASELINE,nofile,veryslow,measures/in/original_05.mkv,13.3222,1123.99,37.64
baseline,BASELINE,nofile,placebo,measures/in/original_05.mkv,42.1908,1131.56,12.49
baseline,BASELINE,nofile,ultrafast,measures/in/original_02.mkv,0.2668,698.97,3072.57
baseline,BASELINE,nofile,superfast,measures/in/original_02.mkv,0.4552,511.41,1743.56
baseline,BASELINE,nofile,veryfast,measures/in/original_02.mkv,0.6991,262.90,1092.33
baseline,BASELINE,nofile,faster,measures/in/original_02.mkv,0.9586,309.50,710.73
baseline,BASELINE,nofile,fast,measures/in/original_02.mkv,1.3149,347.19,507.49
baseline,BASELINE,nofile,medium,measures/in/original_02.mkv,1.6024,318.83,407.75
baseline,BASELINE,nofile,slow,measures/in/original_02.mkv,2.2117,302.13,303.56
baseline,BASELINE,nofile,slower,measures/in/original_02.mkv,3.5256,307.46,175.37
baseline,BASELINE,nofile,veryslow,measures/in/original_02.mkv,7.5259,274.33,78.37
baseline,BASELINE,nofile,placebo,measures/in/original_02.mkv,24.1365,282.93,26.53
baseline,BASELINE,nofile,ultrafast,measures/in/original_06.mkv,0.1359,416.18,2234.30
baseline,BASELINE,nofile,superfast,measures/in/original_06.mkv,0.1361,140.00,1763.28
baseline,BASELINE,nofile,veryfast,measures/in/original_06.mkv,0.1566,50.17,1554.59
baseline,BASELINE,nofile,faster,measures/in/original_06.mkv,0.1950,71.18,1032.93
baseline,BASELINE,nofile,fast,measures/in/original_06.mkv,0.2261,80.21,774.87
baseline,BASELINE,nofile,medium,measures/in/original_06.mkv,0.2866,86.74,638.38
baseline,BASELINE,nofile,slow,measures/in/original_06.mkv,0.3769,87.63,419.85
baseline,BASELINE,nofile,slower,measures/in/original_06.mkv,0.5088,81.69,310.70
baseline,BASELINE,nofile,veryslow,measures/in/original_06.mkv,0.8417,69.89,163.08
baseline,BASELINE,nofile,placebo,measures/in/original_06.mkv,3.7693,71.20,42.01
baseline,BASELINE,nofile,ultrafast,measures/in/original_08.mkv,0.4018,3016.81,1777.23
baseline,BASELINE,nofile,superfast,measures/in/original_08.mkv,0.7071,1825.88,849.71
baseline,BASELINE,nofile,veryfast,measures/in/original_08.mkv,1.1347,1613.72,499.28
baseline,BASELINE,nofile,faster,measures/in/original_08.mkv,1.5533,1686.97,345.90
baseline,BASELINE,nofile,fast,measures/in/original_08.mkv,2.2860,1585.01,231.02
baseline,BASELINE,nofile,medium,measures/in/original_08.mkv,2.8318,1574.94,182.86
baseline,BASELINE,nofile,slow,measures/in/original_08.mkv,4.5667,1535.36,112.60
baseline,BASELINE,nofile,slower,measures/in/original_08.mkv,8.6839,1564.86,56.28
baseline,BASELINE,nofile,veryslow,measures/in/original_08.mkv,18.0349,1535.08,27.74
baseline,BASELINE,nofile,placebo,measures/in/original_08.mkv,74.1603,1485.87,6.68
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_01.mkv,0.2642,1879.26,1440.80
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_04.mkv,0.2878,1113.00,2481.87
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_07.mkv,0.3274,1139.78,2389.19
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_03.mkv,0.3207,3920.98,2217.37
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_05.mkv,0.3153,2217.21,2211.19
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_02.mkv,0.2757,698.97,3608.48
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_06.mkv,0.1273,416.18,2584.98
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_08.mkv,0.3741,3016.81,1891.92
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_01.mkv,0.5422,1000.18,446.10
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_04.mkv,0.4248,157.25,1536.09
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_07.mkv,0.5852,261.15,1200.48
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_03.mkv,0.9270,3030.37,560.67
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_05.mkv,0.9356,1154.41,600.69
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_02.mkv,0.5779,142.70,1332.20
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_06.mkv,0.1619,44.67,1507.61
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_08.mkv,0.9721,1716.46,548.20
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_01.mkv,0.2560,1879.26,1470.54
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_04.mkv,0.2871,1113.00,2649.80
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_07.mkv,0.3203,1139.78,2717.82
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_03.mkv,0.3175,3920.98,2240.35
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_05.mkv,0.3003,2217.21,2262.25
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_02.mkv,0.2635,698.97,3416.37
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_06.mkv,0.1191,416.18,2287.15
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_08.mkv,0.3709,3016.81,1689.04
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_01.mkv,0.4155,1882.26,618.33
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_04.mkv,0.3414,577.76,1829.94
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_07.mkv,0.4512,664.53,1650.07
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_03.mkv,0.5484,2279.32,1028.44
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_05.mkv,0.5436,1452.48,1071.16
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_02.mkv,0.4269,511.41,1776.51
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_06.mkv,0.1445,140.00,1753.31
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_08.mkv,0.6602,1825.88,853.99
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_01.mkv,1.2979,1021.28,182.62
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_04.mkv,0.8976,157.49,618.15
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_07.mkv,1.3567,271.20,473.52
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_03.mkv,2.6682,3056.34,179.96
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_05.mkv,2.1840,1158.20,241.95
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_02.mkv,1.1684,167.45,560.90
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_06.mkv,0.2616,50.85,628.18
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_08.mkv,2.5407,1567.52,206.63
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_01.mkv,5.0348,699.82,37.54
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_04.mkv,4.0353,141.07,132.97
