Specialized_sys,Option,Preset,Video,Encoding_time
baseline,BASELINE,--preset=ultrafast,measures/in/original_01.mkv,0.2453
baseline,BASELINE,--preset=superfast,measures/in/original_01.mkv,0.4831
baseline,BASELINE,--preset=veryfast,measures/in/original_01.mkv,0.8219
baseline,BASELINE,--preset=faster,measures/in/original_01.mkv,0.8712
baseline,BASELINE,--preset=fast,measures/in/original_01.mkv,1.0886
baseline,BASELINE,--preset=medium,measures/in/original_01.mkv,1.6070
baseline,BASELINE,--preset=slow,measures/in/original_01.mkv,2.3767
baseline,BASELINE,--preset=slower,measures/in/original_01.mkv,2.9472
baseline,BASELINE,--preset=veryslow,measures/in/original_01.mkv,6.0013
baseline,BASELINE,--preset=placebo,measures/in/original_01.mkv,21.2142
baseline,BASELINE,--preset=ultrafast,measures/in/original_04.mkv,0.4925
baseline,BASELINE,--preset=superfast,measures/in/original_04.mkv,0.4009
baseline,BASELINE,--preset=veryfast,measures/in/original_04.mkv,0.4871
baseline,BASELINE,--preset=faster,measures/in/original_04.mkv,0.6354
baseline,BASELINE,--preset=fast,measures/in/original_04.mkv,0.8112
baseline,BASELINE,--preset=medium,measures/in/original_04.mkv,1.1160
baseline,BASELINE,--preset=slow,measures/in/original_04.mkv,1.6273
baseline,BASELINE,--preset=slower,measures/in/original_04.mkv,2.4582
baseline,BASELINE,--preset=veryslow,measures/in/original_04.mkv,4.5889
baseline,BASELINE,--preset=placebo,measures/in/original_04.mkv,20.7716
baseline,BASELINE,--preset=ultrafast,measures/in/original_07.mkv,0.5536
baseline,BASELINE,--preset=superfast,measures/in/original_07.mkv,0.5369
baseline,BASELINE,--preset=veryfast,measures/in/original_07.mkv,0.7024
baseline,BASELINE,--preset=faster,measures/in/original_07.mkv,0.9627
baseline,BASELINE,--preset=fast,measures/in/original_07.mkv,1.2851
baseline,BASELINE,--preset=medium,measures/in/original_07.mkv,1.5380
baseline,BASELINE,--preset=slow,measures/in/original_07.mkv,2.1856
baseline,BASELINE,--preset=slower,measures/in/original_07.mkv,3.9202
baseline,BASELINE,--preset=veryslow,measures/in/original_07.mkv,7.9697
baseline,BASELINE,--preset=placebo,measures/in/original_07.mkv,40.4564
baseline,BASELINE,--preset=ultrafast,measures/in/original_03.mkv,0.5420
baseline,BASELINE,--preset=superfast,measures/in/original_03.mkv,0.5869
baseline,BASELINE,--preset=veryfast,measures/in/original_03.mkv,1.0782
baseline,BASELINE,--preset=faster,measures/in/original_03.mkv,1.7004
baseline,BASELINE,--preset=fast,measures/in/original_03.mkv,2.2990
baseline,BASELINE,--preset=medium,measures/in/original_03.mkv,2.9335
baseline,BASELINE,--preset=slow,measures/in/original_03.mkv,5.0829
baseline,BASELINE,--preset=slower,measures/in/original_03.mkv,10.1364
baseline,BASELINE,--preset=veryslow,measures/in/original_03.mkv,19.6831
baseline,BASELINE,--preset=placebo,measures/in/original_03.mkv,59.9978
baseline,BASELINE,--preset=ultrafast,measures/in/original_05.mkv,0.5460
baseline,BASELINE,--preset=superfast,measures/in/original_05.mkv,0.5673
baseline,BASELINE,--preset=veryfast,measures/in/original_05.mkv,1.0139
baseline,BASELINE,--preset=faster,measures/in/original_05.mkv,1.4267
baseline,BASELINE,--preset=fast,measures/in/original_05.mkv,1.9184
baseline,BASELINE,--preset=medium,measures/in/original_05.mkv,2.3165
baseline,BASELINE,--preset=slow,measures/in/original_05.mkv,3.4748
baseline,BASELINE,--preset=slower,measures/in/original_05.mkv,6.2841
baseline,BASELINE,--preset=veryslow,measures/in/original_05.mkv,12.7094
baseline,BASELINE,--preset=placebo,measures/in/original_05.mkv,40.1547
baseline,BASELINE,--preset=ultrafast,measures/in/original_02.mkv,0.4370
baseline,BASELINE,--preset=superfast,measures/in/original_02.mkv,0.4605
baseline,BASELINE,--preset=veryfast,measures/in/original_02.mkv,0.5905
baseline,BASELINE,--preset=faster,measures/in/original_02.mkv,0.9393
baseline,BASELINE,--preset=fast,measures/in/original_02.mkv,1.3318
baseline,BASELINE,--preset=medium,measures/in/original_02.mkv,1.6229
baseline,BASELINE,--preset=slow,measures/in/original_02.mkv,2.1737
baseline,BASELINE,--preset=slower,measures/in/original_02.mkv,3.6584
baseline,BASELINE,--preset=veryslow,measures/in/original_02.mkv,7.0864
baseline,BASELINE,--preset=placebo,measures/in/original_02.mkv,22.8100
baseline,BASELINE,--preset=ultrafast,measures/in/original_06.mkv,0.1937
baseline,BASELINE,--preset=superfast,measures/in/original_06.mkv,0.1484
baseline,BASELINE,--preset=veryfast,measures/in/original_06.mkv,0.1634
baseline,BASELINE,--preset=faster,measures/in/original_06.mkv,0.2144
baseline,BASELINE,--preset=fast,measures/in/original_06.mkv,0.2376
baseline,BASELINE,--preset=medium,measures/in/original_06.mkv,0.3025
baseline,BASELINE,--preset=slow,measures/in/original_06.mkv,0.3689
baseline,BASELINE,--preset=slower,measures/in/original_06.mkv,0.4737
baseline,BASELINE,--preset=veryslow,measures/in/original_06.mkv,0.8706
baseline,BASELINE,--preset=placebo,measures/in/original_06.mkv,3.2324
baseline,BASELINE,--preset=ultrafast,measures/in/original_08.mkv,0.6623
baseline,BASELINE,--preset=superfast,measures/in/original_08.mkv,0.7053
baseline,BASELINE,--preset=veryfast,measures/in/original_08.mkv,1.1326
baseline,BASELINE,--preset=faster,measures/in/original_08.mkv,1.6460
baseline,BASELINE,--preset=fast,measures/in/original_08.mkv,2.3043
baseline,BASELINE,--preset=medium,measures/in/original_08.mkv,2.8308
baseline,BASELINE,--preset=slow,measures/in/original_08.mkv,4.6673
baseline,BASELINE,--preset=slower,measures/in/original_08.mkv,8.8323
baseline,BASELINE,--preset=veryslow,measures/in/original_08.mkv,17.6913
baseline,BASELINE,--preset=placebo,measures/in/original_08.mkv,74.6892
ultrafast,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",--preset=ultrafast,measures/in/original_01.mkv,0.5471
ultrafast,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",--preset=ultrafast,measures/in/original_04.mkv,0.5974
ultrafast,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",--preset=ultrafast,measures/in/original_07.mkv,0.7891
ultrafast,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",--preset=ultrafast,measures/in/original_03.mkv,0.7491
ultrafast,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",--preset=ultrafast,measures/in/original_05.mkv,0.6333
ultrafast,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",--preset=ultrafast,measures/in/original_02.mkv,0.4977
ultrafast,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",--preset=ultrafast,measures/in/original_06.mkv,0.2502
ultrafast,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",--preset=ultrafast,measures/in/original_08.mkv,0.6964
veryfast,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=veryfast,measures/in/original_01.mkv,0.8273
veryfast,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=veryfast,measures/in/original_04.mkv,0.8819
veryfast,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=veryfast,measures/in/original_07.mkv,1.1229
veryfast,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=veryfast,measures/in/original_03.mkv,1.1047
veryfast,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=veryfast,measures/in/original_05.mkv,1.0671
veryfast,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=veryfast,measures/in/original_02.mkv,0.7388
veryfast,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=veryfast,measures/in/original_06.mkv,0.2221
veryfast,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=veryfast,measures/in/original_08.mkv,1.2173
medium,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=medium,measures/in/original_01.mkv,1.6613
medium,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=medium,measures/in/original_04.mkv,1.0349
medium,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=medium,measures/in/original_07.mkv,1.4425
medium,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=medium,measures/in/original_03.mkv,2.4838
medium,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=medium,measures/in/original_05.mkv,2.0831
medium,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=medium,measures/in/original_02.mkv,1.2626
medium,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=medium,measures/in/original_06.mkv,0.3231
medium,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=medium,measures/in/original_08.mkv,2.5289
veryslow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=veryslow,measures/in/original_01.mkv,5.3918
veryslow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=veryslow,measures/in/original_04.mkv,3.5912
veryslow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=veryslow,measures/in/original_07.mkv,7.4501
veryslow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=veryslow,measures/in/original_03.mkv,20.5818
veryslow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=veryslow,measures/in/original_05.mkv,12.1815
veryslow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=veryslow,measures/in/original_02.mkv,5.5310
veryslow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=veryslow,measures/in/original_06.mkv,0.8294
veryslow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=veryslow,measures/in/original_08.mkv,17.0335
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_01.mkv,2.7052
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_04.mkv,1.3148
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_07.mkv,1.8963
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_03.mkv,4.8972
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_05.mkv,3.5233
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_02.mkv,1.6623
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_06.mkv,0.4561
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_08.mkv,5.0725
faster,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=faster,measures/in/original_01.mkv,1.3770
faster,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=faster,measures/in/original_04.mkv,1.0534
faster,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=faster,measures/in/original_07.mkv,1.1769
