Specialized_sys,Option,Preset,Video,Encoding_time,Encoding_bitrate
baseline,BASELINE,ultrafast,measures/in/original_01.mkv,0.3172,1879.26
baseline,BASELINE,superfast,measures/in/original_01.mkv,0.4522,1882.26
baseline,BASELINE,veryfast,measures/in/original_01.mkv,0.7890,1185.49
baseline,BASELINE,faster,measures/in/original_01.mkv,0.8625,1195.93
baseline,BASELINE,fast,measures/in/original_01.mkv,1.3230,1178.70
baseline,BASELINE,medium,measures/in/original_01.mkv,1.4308,1179.18
baseline,BASELINE,slow,measures/in/original_01.mkv,2.4525,1195.73
baseline,BASELINE,slower,measures/in/original_01.mkv,3.0716,577.72
baseline,BASELINE,veryslow,measures/in/original_01.mkv,7.3358,796.79
baseline,BASELINE,placebo,measures/in/original_01.mkv,21.0673,356.13
baseline,BASELINE,ultrafast,measures/in/original_04.mkv,0.3310,1113.00
baseline,BASELINE,superfast,measures/in/original_04.mkv,0.3921,577.76
baseline,BASELINE,veryfast,measures/in/original_04.mkv,0.4908,215.62
baseline,BASELINE,faster,measures/in/original_04.mkv,0.6535,257.18
baseline,BASELINE,fast,measures/in/original_04.mkv,0.8863,285.09
baseline,BASELINE,medium,measures/in/original_04.mkv,1.1592,292.54
baseline,BASELINE,slow,measures/in/original_04.mkv,1.7917,294.94
baseline,BASELINE,slower,measures/in/original_04.mkv,2.5564,292.84
baseline,BASELINE,veryslow,measures/in/original_04.mkv,4.8147,275.76
baseline,BASELINE,placebo,measures/in/original_04.mkv,24.3757,285.72
baseline,BASELINE,ultrafast,measures/in/original_07.mkv,0.4769,1139.78
baseline,BASELINE,superfast,measures/in/original_07.mkv,0.5357,664.53
baseline,BASELINE,veryfast,measures/in/original_07.mkv,0.9290,323.88
baseline,BASELINE,faster,measures/in/original_07.mkv,1.1204,357.80
baseline,BASELINE,fast,measures/in/original_07.mkv,1.3377,381.23
baseline,BASELINE,medium,measures/in/original_07.mkv,1.5974,373.51
baseline,BASELINE,slow,measures/in/original_07.mkv,2.4142,369.05
baseline,BASELINE,slower,measures/in/original_07.mkv,4.6238,364.79
baseline,BASELINE,veryslow,measures/in/original_07.mkv,8.6946,344.72
baseline,BASELINE,placebo,measures/in/original_07.mkv,43.4120,354.53
baseline,BASELINE,ultrafast,measures/in/original_03.mkv,0.6070,3920.98
baseline,BASELINE,superfast,measures/in/original_03.mkv,0.6211,2279.32
baseline,BASELINE,veryfast,measures/in/original_03.mkv,1.1801,2410.79
baseline,BASELINE,faster,measures/in/original_03.mkv,1.7933,2465.54
baseline,BASELINE,fast,measures/in/original_03.mkv,2.4668,2478.86
baseline,BASELINE,medium,measures/in/original_03.mkv,3.0714,2460.31
baseline,BASELINE,slow,measures/in/original_03.mkv,6.2864,2454.72
baseline,BASELINE,slower,measures/in/original_03.mkv,11.5669,2445.12
baseline,BASELINE,veryslow,measures/in/original_03.mkv,21.3379,2323.47
baseline,BASELINE,placebo,measures/in/original_03.mkv,68.4204,2326.55
baseline,BASELINE,ultrafast,measures/in/original_05.mkv,0.5223,2217.21
baseline,BASELINE,superfast,measures/in/original_05.mkv,0.6214,1452.48
baseline,BASELINE,veryfast,measures/in/original_05.mkv,1.0885,1178.82
baseline,BASELINE,faster,measures/in/original_05.mkv,1.6243,1221.03
baseline,BASELINE,fast,measures/in/original_05.mkv,2.1457,1239.66
baseline,BASELINE,medium,measures/in/original_05.mkv,2.5629,1197.77
baseline,BASELINE,slow,measures/in/original_05.mkv,3.6115,1186.29
