System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
baseline,BASELINE,nofile,ultrafast,measures/in/original_01.mkv,0.2441,1879.26,1338.59
baseline,BASELINE,nofile,superfast,measures/in/original_01.mkv,0.4647,1882.26,578.56
baseline,BASELINE,nofile,veryfast,measures/in/original_01.mkv,0.7577,1185.49,367.72
baseline,BASELINE,nofile,faster,measures/in/original_01.mkv,0.8543,1195.93,290.70
baseline,BASELINE,nofile,fast,measures/in/original_01.mkv,1.2735,1178.70,212.68
baseline,BASELINE,nofile,medium,measures/in/original_01.mkv,1.3644,1179.18,162.34
baseline,BASELINE,nofile,slow,measures/in/original_01.mkv,2.5159,1195.73,73.16
baseline,BASELINE,nofile,slower,measures/in/original_01.mkv,3.6527,577.72,59.31
baseline,BASELINE,nofile,veryslow,measures/in/original_01.mkv,7.3077,796.79,29.01
baseline,BASELINE,nofile,placebo,measures/in/original_01.mkv,21.7276,356.13,8.49
baseline,BASELINE,nofile,ultrafast,measures/in/original_04.mkv,0.3023,1113.00,2283.25
baseline,BASELINE,nofile,superfast,measures/in/original_04.mkv,0.4490,577.76,1671.31
baseline,BASELINE,nofile,veryfast,measures/in/original_04.mkv,0.5950,215.62,1127.40
baseline,BASELINE,nofile,faster,measures/in/original_04.mkv,0.7947,257.18,771.23
baseline,BASELINE,nofile,fast,measures/in/original_04.mkv,0.9941,285.09,590.49
baseline,BASELINE,nofile,medium,measures/in/original_04.mkv,1.3162,292.54,426.88
baseline,BASELINE,nofile,slow,measures/in/original_04.mkv,1.9414,294.94,282.44
baseline,BASELINE,nofile,slower,measures/in/original_04.mkv,2.8899,292.84,181.52
baseline,BASELINE,nofile,veryslow,measures/in/original_04.mkv,5.4376,275.76,95.43
baseline,BASELINE,nofile,placebo,measures/in/original_04.mkv,24.0454,285.72,20.67
baseline,BASELINE,nofile,ultrafast,measures/in/original_07.mkv,0.3832,1139.78,2349.07
baseline,BASELINE,nofile,superfast,measures/in/original_07.mkv,0.5758,664.53,1281.76
baseline,BASELINE,nofile,veryfast,measures/in/original_07.mkv,0.7962,323.88,878.19
baseline,BASELINE,nofile,faster,measures/in/original_07.mkv,1.1752,357.80,580.69
baseline,BASELINE,nofile,fast,measures/in/original_07.mkv,1.5038,381.23,440.00
baseline,BASELINE,nofile,medium,measures/in/original_07.mkv,1.8037,373.51,366.09
baseline,BASELINE,nofile,slow,measures/in/original_07.mkv,2.5795,369.05,247.34
baseline,BASELINE,nofile,slower,measures/in/original_07.mkv,4.5858,364.79,138.97
baseline,BASELINE,nofile,veryslow,measures/in/original_07.mkv,9.3994,344.72,66.16
baseline,BASELINE,nofile,placebo,measures/in/original_07.mkv,46.3336,354.53,12.97
baseline,BASELINE,nofile,ultrafast,measures/in/copy_01.mkv,0.5861,1739.17,519.80
baseline,BASELINE,nofile,superfast,measures/in/copy_01.mkv,0.7281,1612.90,358.97
baseline,BASELINE,nofile,veryfast,measures/in/copy_01.mkv,1.0378,1145.05,242.60
baseline,BASELINE,nofile,faster,measures/in/copy_01.mkv,1.3029,1152.17,169.27
baseline,BASELINE,nofile,fast,measures/in/copy_01.mkv,1.8852,1133.51,119.65
baseline,BASELINE,nofile,medium,measures/in/copy_01.mkv,2.1772,1133.96,111.03
baseline,BASELINE,nofile,slow,measures/in/copy_01.mkv,3.6393,1132.56,62.33
baseline,BASELINE,nofile,slower,measures/in/copy_01.mkv,4.3052,578.96,47.17
baseline,BASELINE,nofile,veryslow,measures/in/copy_01.mkv,8.9222,809.24,23.56
baseline,BASELINE,nofile,placebo,measures/in/copy_01.mkv,26.0375,389.41,8.45
baseline,BASELINE,nofile,ultrafast,measures/in/original_03.mkv,0.4442,3920.98,1813.54
baseline,BASELINE,nofile,superfast,measures/in/original_03.mkv,0.7781,2279.32,735.81
baseline,BASELINE,nofile,veryfast,measures/in/original_03.mkv,1.3421,2410.79,366.57
baseline,BASELINE,nofile,faster,measures/in/original_03.mkv,2.0111,2465.54,268.81
baseline,BASELINE,nofile,fast,measures/in/original_03.mkv,2.5834,2478.86,196.46
baseline,BASELINE,nofile,medium,measures/in/original_03.mkv,3.2174,2460.31,156.53
baseline,BASELINE,nofile,slow,measures/in/original_03.mkv,5.7983,2454.72,83.67
baseline,BASELINE,nofile,slower,measures/in/original_03.mkv,11.7304,2445.12,40.05
baseline,BASELINE,nofile,veryslow,measures/in/original_03.mkv,23.2968,2323.47,20.30
baseline,BASELINE,nofile,placebo,measures/in/original_03.mkv,72.5566,2326.55,6.68
baseline,BASELINE,nofile,ultrafast,measures/in/original_05.mkv,0.6171,2217.21,2022.45
baseline,BASELINE,nofile,superfast,measures/in/original_05.mkv,0.7501,1452.48,886.33
baseline,BASELINE,nofile,veryfast,measures/in/original_05.mkv,1.2885,1178.82,462.29
baseline,BASELINE,nofile,faster,measures/in/original_05.mkv,1.6161,1221.03,326.50
baseline,BASELINE,nofile,fast,measures/in/original_05.mkv,2.2374,1239.66,241.56
baseline,BASELINE,nofile,medium,measures/in/original_05.mkv,2.7547,1197.77,195.29
baseline,BASELINE,nofile,slow,measures/in/original_05.mkv,4.0646,1186.29,130.89
baseline,BASELINE,nofile,slower,measures/in/original_05.mkv,7.2170,1170.67,63.95
baseline,BASELINE,nofile,veryslow,measures/in/original_05.mkv,15.9817,1123.99,33.63
baseline,BASELINE,nofile,placebo,measures/in/original_05.mkv,47.7530,1131.56,10.22
baseline,BASELINE,nofile,ultrafast,measures/in/original_02.mkv,0.5677,698.97,2546.06
baseline,BASELINE,nofile,superfast,measures/in/original_02.mkv,0.5975,511.41,1318.86
baseline,BASELINE,nofile,veryfast,measures/in/original_02.mkv,0.7791,262.90,871.95
baseline,BASELINE,nofile,faster,measures/in/original_02.mkv,1.1158,309.50,601.16
baseline,BASELINE,nofile,fast,measures/in/original_02.mkv,1.6666,347.19,420.79
baseline,BASELINE,nofile,medium,measures/in/original_02.mkv,1.9243,318.83,318.40
baseline,BASELINE,nofile,slow,measures/in/original_02.mkv,2.5340,302.13,247.02
baseline,BASELINE,nofile,slower,measures/in/original_02.mkv,4.2662,307.46,146.36
baseline,BASELINE,nofile,veryslow,measures/in/original_02.mkv,8.5942,274.33,72.94
baseline,BASELINE,nofile,placebo,measures/in/original_02.mkv,28.6983,282.93,21.62
baseline,BASELINE,nofile,ultrafast,measures/in/o1.mkv,0.5288,1746.47,501.56
baseline,BASELINE,nofile,superfast,measures/in/o1.mkv,0.6720,1393.69,366.25
baseline,BASELINE,nofile,veryfast,measures/in/o1.mkv,1.0774,1052.52,241.61
baseline,BASELINE,nofile,faster,measures/in/o1.mkv,1.2678,1060.35,191.05
baseline,BASELINE,nofile,fast,measures/in/o1.mkv,1.6241,1044.34,143.93
baseline,BASELINE,nofile,medium,measures/in/o1.mkv,1.9939,1044.98,114.59
baseline,BASELINE,nofile,slow,measures/in/o1.mkv,3.3053,1043.40,61.85
baseline,BASELINE,nofile,slower,measures/in/o1.mkv,4.1150,504.85,54.69
baseline,BASELINE,nofile,veryslow,measures/in/o1.mkv,8.2234,760.47,26.69
baseline,BASELINE,nofile,placebo,measures/in/o1.mkv,23.8715,351.33,8.85
baseline,BASELINE,nofile,ultrafast,measures/in/original_06.mkv,0.2186,416.18,1467.10
